Team,Pos,Name,Height,Caps,Goals
Uruguay,MF,MARTINEZ Emiliano,184,10,0
Uruguay,DF,OLIVERA Mathias,174,35,2
Uruguay,DF,VINA Matias,180,43,1
Uruguay,FW,RODRIGUEZ Brian,175,33,4
Uruguay,FW,AGUIRRE Rodrigo,182,10,3
Uruguay,MF,ARAUJO Maxi,176,28,3
Uruguay,FW,VINAS Federico,181,11,2
Uruguay,MF,PIQUEREZ Joaquin,185,19,0
Uruguay,GK,MUSLERA Fernando,190,134,0
Uruguay,DF,BUENO Santiago,191,8,0
Uruguay,MF,SANABRIA Juan Manuel,170,5,1
Uruguay,MF,ZALAZAR Rodrigo,175,7,2
USA,GK,TURNER Matt,190,54,0
USA,DF,DEST Sergino,173,39,3
USA,DF,RICHARDS Chris,189,36,3
USA,MF,ADAMS Tyler,175,54,2
USA,DF,ROBINSON Antonee,183,54,5
USA,DF,TRUSTY Auston,190,8,0
USA,MF,REYNA Giovanni,187,38,9
USA,MF,McKENNIE Weston,180,66,12
USA,FW,PEPI Ricardo,185,37,13
USA,FW,PULISIC Christian,177,86,33
USA,FW,AARONSON Brenden,177,58,9
USA,DF,ROBINSON Miles,187,40,3
USA,DF,REAM Tim,186,81,1
USA,MF,BERHALTER Sebastian,175,13,1
USA,MF,ROLDAN Cristian,173,47,0
USA,DF,FREEMAN Alex,188,17,2
USA,MF,TILLMAN Malik,187,30,3
USA,DF,ARFSTEN Max,185,20,1
USA,FW,WRIGHT Haji,191,20,7
USA,FW,BALOGUN Folarin,179,27,9
USA,FW,WEAH Timothy,183,51,7
USA,DF,McKENZIE Mark,186,29,0
USA,DF,SCALLY Joe,184,26,0
USA,GK,FREESE Matt,198,15,0
USA,GK,BRADY Chris,193,1,0
USA,FW,ZENDEJAS Alex,167,14,2
